"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129","deletePetTest","Petstore API Suite","Wed Dec 04 12:29:29 GMT 2024","passed","Wed Dec 04 12:29:29 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","116","updatePetTest","Petstore API Suite","Wed Dec 04 12:29:28 GMT 2024","passed","Wed Dec 04 12:29:29 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","222","deletePetTest","Petstore API Suite","Wed Dec 04 12:29:29 GMT 2024","passed","Wed Dec 04 12:29:29 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","139","updatePetTest","Petstore API Suite","Wed Dec 04 12:29:29 GMT 2024","passed","Wed Dec 04 12:29:29 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","178","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:29:29 GMT 2024","passed","Wed Dec 04 12:29:30 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","141","getPetTest","Petstore API Suite","Wed Dec 04 12:29:28 GMT 2024","passed","Wed Dec 04 12:29:28 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","142","getPetByIdTest","Petstore API Suite","Wed Dec 04 12:29:28 GMT 2024","passed","Wed Dec 04 12:29:28 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","241","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:29:29 GMT 2024","passed","Wed Dec 04 12:29:29 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","557","createPetTest","Petstore API Suite","Wed Dec 04 12:29:28 GMT 2024","passed","Wed Dec 04 12:29:28 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","1644","createPetTest","Petstore API Suite","Wed Dec 04 12:29:26 GMT 2024","passed","Wed Dec 04 12:29:28 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
