"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","deletePetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","529","createPetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","1353","createPetTest","Petstore API Suite","Wed Dec 04 13:01:54 GMT 2024","passed","Wed Dec 04 13:01:55 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","53","getPetByIdTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","68","updatePetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","67","getPetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","83","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 13:01:57 GMT 2024","passed","Wed Dec 04 13:01:57 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","40","updatePetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","32","deletePetTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:56 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","123","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 13:01:56 GMT 2024","passed","Wed Dec 04 13:01:57 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
